Name,Description,Category,Status
ZG Sticker Dark,Dark themed sticker,Sticker,Active
ZG Sticker Blue,Blue themed sticker,Sticker,Active
ZG Sticker Lila,Purple/Lila themed sticker,Sticker,Active
